square_id,model,MAE,MAPE,RMSE
5059,CNN,77.87175750732422,8.420738,110.01634732932874
5059,LSTM,69.5812759399414,6.5969152,100.81039791670797
5059,MLP,81.99606323242188,8.426948,114.2456449183622
5161,CNN,112.9066162109375,9.938557,172.5676384602571
5161,LSTM,104.85630798339844,9.633909,156.23986217111815
5161,MLP,96.11599731445312,9.395891,144.81113777952302
5259,CNN,72.32122039794922,8.157662,100.01511116295127
5259,LSTM,70.59320831298828,7.7721844,99.51486325073506
5259,MLP,69.3125,7.1525393,98.932130302799
