lag,autocorrelation
0,1.0
1,0.9757589147398316
2,0.9679803626410209
3,0.9633858783796189
4,0.9503474111175563
5,0.9390452357612498
6,0.9264738895782133
7,0.9103019785671794
8,0.8921917967892075
9,0.8740083050869589
10,0.8511144825117031
11,0.8271503185372329
12,0.8050431601027401
13,0.777931212166451
14,0.7503977100037345
15,0.7224778472024593
16,0.6926900580431057
17,0.6612895937027856
18,0.6297359970162306
19,0.598600852307081
20,0.5633243786674949
21,0.5304321442958406
22,0.49393154814052753
23,0.4572314528872479
24,0.42336706708871674
25,0.3861600972117719
26,0.34860000087845505
27,0.3131216065894896
28,0.27568165199225264
29,0.23662084361576463
30,0.1976458041962903
31,0.15978773459454035
32,0.1206719243767408
33,0.08270878398756823
34,0.04425899729994335
35,0.006308853441601348
36,-0.03223712595456678
37,-0.07065124624199401
38,-0.1072400534687836
39,-0.14472594188145077
40,-0.18053391255219445
41,-0.21511348184904025
42,-0.24966907925816034
43,-0.28262104360212603
44,-0.3161800024229633
45,-0.34687053579269483
46,-0.3779671299188702
47,-0.40779413113841384
48,-0.4363808731503704
49,-0.4639527943774913
50,-0.48984381880953964
51,-0.5154603074962583
52,-0.5389036014828933
53,-0.5612485677779022
54,-0.5826510788402062
55,-0.6025574684454645
56,-0.6212853365801437
57,-0.6388544297385925
58,-0.655970793717359
59,-0.6707665948910356
60,-0.6844615802144614
61,-0.6972097939796221
62,-0.7081922605195351
63,-0.7188203348450952
64,-0.7282271833963406
65,-0.7359294093374553
66,-0.7425276583985583
67,-0.7494083052384647
68,-0.7540456132644194
69,-0.7578291160940493
70,-0.7598138481300779
71,-0.7610330668401115
72,-0.7604874045016435
