square_id,model,MAE,MAPE,RMSE,training_time_seconds,prediction_time_seconds,epochs,best_epoch,mean,std,minimum,maximum,median,coefficient_of_variation
5161,MLP,96.11599731445312,9.395891,144.81113777952302,9.677565875000028,0.20781419700006154,39,32,1486.916,1313.3054,104.88003,8044.0703,1115.3826,0.8832412
5161,CNN,112.9066162109375,9.938557,172.5676384602571,8.786042147999979,0.26318536399992354,20,13,1486.916,1313.3054,104.88003,8044.0703,1115.3826,0.8832412
5161,LSTM,104.85630798339844,9.633909,156.23986217111815,16.6919523009999,0.5334483020000107,17,10,1486.916,1313.3054,104.88003,8044.0703,1115.3826,0.8832412
5059,MLP,81.99606323242188,8.426948,114.2456449183622,8.722015172000056,0.22272642300004009,28,21,1332.8278,952.9474,189.1031,4182.755,1092.9569,0.7149817
5059,CNN,77.87175750732422,8.420738,110.01634732932874,5.872387990999982,0.2636376890000065,17,10,1332.8278,952.9474,189.1031,4182.755,1092.9569,0.7149817
5059,LSTM,69.5812759399414,6.5969152,100.81039791670797,27.960010409000006,0.5038107880000098,34,27,1332.8278,952.9474,189.1031,4182.755,1092.9569,0.7149817
5259,MLP,69.3125,7.1525393,98.932130302799,7.548800135999954,0.21051561799993124,23,16,1294.4816,1138.2192,134.49051,4262.895,701.709,0.8792858
5259,CNN,72.32122039794922,8.157662,100.01511116295127,9.932393109000031,0.3670944570000074,28,21,1294.4816,1138.2192,134.49051,4262.895,701.709,0.8792858
5259,LSTM,70.59320831298828,7.7721844,99.51486325073506,40.0166371009999,0.747889005999923,50,48,1294.4816,1138.2192,134.49051,4262.895,701.709,0.8792858
