,MAE,MAE,MAE,MAPE,MAPE,MAPE,RMSE,RMSE,RMSE
model,CNN,LSTM,MLP,CNN,LSTM,MLP,CNN,LSTM,MLP
square_id,,,,,,,,,
5059,77.87175750732422,69.5812759399414,81.99606323242188,8.420738220214844,6.596915245056152,8.426947593688965,110.01634732932874,100.81039791670797,114.2456449183622
5161,112.9066162109375,104.85630798339844,96.11599731445312,9.938556671142578,9.633909225463867,9.395891189575195,172.5676384602571,156.23986217111815,144.81113777952302
5259,72.32122039794922,70.59320831298828,69.3125,8.157662391662598,7.772184371948242,7.152539253234863,100.01511116295127,99.51486325073506,98.932130302799
